,title,id,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year
88310,Lost Summoner Kitty,761140,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88311,Ironbound,643980,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,2018
88312,Real Pool 3D - Poolians,670290,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2017
88313,弹炸人2222,767400,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
88315,Battle Royale Trainer,772540,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018
88317,SNOW - All Access Pro Pass,774277,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88318,SNOW - All Access Legend Pass,774278,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88322,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,770380,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2018
88323,Beach Rules,768880,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88324,Planetarium 2 - Zen Odyssey,765320,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2018
88325,The first thrust of God,773650,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88326,SNOW - Starter Pack,774271,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88327,The first thrust of God - All Aircrafts,773690,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2018
88328,SNOW - Lifetime Pack,774279,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2018
88331,The Warrior Of Treasures,768060,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88333,RC Plane 3 - Canyon Scenario,775880,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
88334,RC Plane 3 - F-53B,775881,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2017
88335,DinoBlaster,653960,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
88337,Carmageddon Max Pack,282010,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1997
88338,Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
88339,Fallen Mage,752360,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2016
