,user_id,item_id,recommend,posted year,sentiment_score
0,76561197970982479,1250,True,2011,0
0,76561197970982479,22200,True,2011,0
0,76561197970982479,43110,True,2011,0
1,js41637,251610,True,2014,0
1,js41637,227300,True,2013,0
1,js41637,239030,True,2013,0
2,evcentric,248820,True,,0
2,evcentric,370360,True,2015,0
2,evcentric,237930,True,2014,0
2,evcentric,263360,True,2014,0
2,evcentric,107200,True,2014,0
2,evcentric,224500,True,2014,0
3,doctr,250320,True,2013,0
3,doctr,20920,True,2012,0
3,doctr,204100,True,2012,0
3,doctr,224600,True,2014,0
3,doctr,207610,True,2012,2
3,doctr,108710,True,2012,0
4,maplemage,211420,True,2014,0
4,maplemage,211820,True,2013,0
4,maplemage,730,True,2014,0
4,maplemage,204300,True,2013,0
5,Wackky,249130,True,2014,0
5,Wackky,207610,True,2012,0
5,Wackky,550,True,2012,0
5,Wackky,65800,True,2012,0
5,Wackky,220,True,2012,0
6,76561198079601835,730,True,,0
7,MeaTCompany,730,True,,0
8,76561198089393905,72850,True,2015,2
8,76561198089393905,440,True,2014,0
9,76561198156664158,252950,True,,0
10,76561198077246154,440,True,,0
10,76561198077246154,304930,True,2014,0
11,WeiEDKrSat,4000,True,2013,0
12,thequeenpanda,42910,True,2012,0
13,death-hunter,232090,True,2015,0
13,death-hunter,1250,True,2015,0
13,death-hunter,4000,True,2014,0
14,DJKamBer,304930,True,2014,0
14,DJKamBer,570,True,2013,0
14,DJKamBer,218620,True,2015,0
14,DJKamBer,224260,True,2013,0
14,DJKamBer,1250,True,2013,2
14,DJKamBer,440,True,2012,0
15,Rainbow-Dashie,730,True,2015,0
15,Rainbow-Dashie,440,True,2014,0
15,Rainbow-Dashie,49520,True,2014,0
16,76561198043472122,33440,False,2014,0
17,MarbleShrine,220200,True,2015,0
18,PPanther,211820,True,2014,0
19,devvonst,440,True,2014,0
19,devvonst,218740,True,2014,0
19,devvonst,550,True,2015,0
20,Fr0stedLine,220,True,,0
21,starkillershadow553,238090,True,2015,2
21,starkillershadow553,242130,True,,2
21,starkillershadow553,277430,True,2014,0
22,76561198058373434,8870,True,2015,0
23,76561198048353577,368230,True,2015,2
23,76561198048353577,4000,True,,0
23,76561198048353577,33930,True,2013,0
24,76561198066046412,359320,False,2015,2
24,76561198066046412,219640,True,2015,0
25,tru_mu_,287980,True,2015,0
26,76561198070565427,218620,True,,0
26,76561198070565427,208090,True,2015,0
26,76561198070565427,242700,True,2014,0
26,76561198070565427,570,False,2014,0
26,76561198070565427,224260,True,2014,0
27,SavageEeEe,221100,True,2015,0
28,76561198076909484,570,True,2014,0
29,KanadeTheNeko,331470,True,2014,0
29,KanadeTheNeko,4000,True,2014,0
30,Leaf_Light_Moscow,323370,True,,0
31,GoAwayZach,304930,True,2014,0
32,76561198054540475,12210,True,2015,2
32,76561198054540475,265210,True,2014,0
32,76561198054540475,48700,True,2014,0
33,76561198085547365,238460,True,,0
33,76561198085547365,34900,True,,0
34,76561198061252210,730,True,2015,0
35,OfficialShroomsy,113200,True,2013,0
36,boydeer,440,True,2014,0
36,boydeer,383080,False,2015,0
37,VVillis,213670,True,2015,0
38,76561198083226897,105600,True,2015,0
39,76561198075277292,730,True,2015,2
39,76561198075277292,570,True,2015,0
40,76561198028895010,231180,True,2013,0
40,76561198028895010,620,True,2012,0
41,76561198170198366,271290,True,,0
42,diego9031,4000,True,,0
42,diego9031,317360,True,,0
42,diego9031,223710,True,2015,0
42,diego9031,299360,True,2015,0
42,diego9031,322330,True,2015,0
42,diego9031,1250,True,2015,0
42,diego9031,12100,True,2015,0
42,diego9031,204360,True,2015,0
42,diego9031,440,True,2013,0
42,diego9031,224260,True,2013,0
43,jarrodtrim,440,True,2012,0
44,76561198078738103,304930,True,,0
45,76561198067936203,440,True,2015,0
46,76561198079770573,1840,True,2015,0
47,76561198087586464,440,True,2013,0
48,Derp-e,440,True,2015,0
49,76561198070194565,233250,True,2014,0
49,76561198070194565,449140,True,,0
49,76561198070194565,368730,True,,0
49,76561198070194565,246280,True,,0
49,76561198070194565,427270,True,,0
49,76561198070194565,397100,True,,0
49,76561198070194565,248570,True,2015,0
50,Rivtex,298630,True,2015,0
51,UTNerd24,244210,True,2014,0
51,UTNerd24,440,True,2015,0
51,UTNerd24,376920,True,2015,0
51,UTNerd24,257750,True,2015,0
51,UTNerd24,221910,True,2014,0
51,UTNerd24,2280,True,2013,2
52,sandwiches1,417860,False,2015,0
53,76561198138053270,218620,True,2014,0
54,lucaswerg,218620,True,2014,0
54,lucaswerg,222880,True,2014,0
55,Life-Of-Blu,377160,True,2015,0
55,Life-Of-Blu,211820,True,2013,0
56,CaptianAutismo,252490,True,2015,2
57,76561198075895633,440,True,2014,0
58,TheDropix101,242920,True,,0
59,kube134,251990,True,2014,0
60,iamthekingofbrowntown,344760,False,2015,2
60,iamthekingofbrowntown,252950,True,2015,0
60,iamthekingofbrowntown,236430,True,,0
60,iamthekingofbrowntown,399730,True,2015,0
61,MainScout,550,True,,0
62,gdxsd,,,,0
63,yookobz,377160,True,2015,0
63,yookobz,219150,True,2013,0
64,Posiblydead,277430,True,2014,0
64,Posiblydead,239820,True,2014,0
64,Posiblydead,17410,True,2012,0
65,Mossy_Gaming,440,True,2015,0
66,76561198102421718,270550,True,2015,0
66,76561198102421718,274940,True,2015,0
66,76561198102421718,333930,True,2015,2
67,76561198087407319,440,True,2014,0
68,76561198056741844,730,True,2014,0
69,sad-commie,294100,True,,2
69,sad-commie,212070,True,2014,2
69,sad-commie,264140,True,2014,0
70,76561198030567998,332800,True,2014,0
70,76561198030567998,319630,True,2015,0
70,76561198030567998,6020,True,2015,2
70,76561198030567998,55230,True,2015,0
70,76561198030567998,32430,True,2014,0
71,76561198010674657,377160,False,,0
71,76561198010674657,440,True,,2
72,Coldaniel,35450,True,2015,0
72,Coldaniel,440,True,2014,0
72,Coldaniel,236390,True,2015,0
73,therealmorty,351570,True,2015,0
73,therealmorty,212680,True,2015,2
74,Berserklejerker,391540,True,2015,0
75,76561198061730629,550,True,2014,2
76,YoHuNz,440,True,2014,0
76,YoHuNz,570,True,2014,0
77,possessioniskey,72850,True,2015,0
77,possessioniskey,440,True,2015,0
77,possessioniskey,113400,True,2014,0
78,76561198093112529,440,True,2014,0
79,76561198060447950,200510,True,2015,0
80,whiteofwolfing,730,True,2015,0
81,sergarino,383080,True,2015,0
82,76561198081962345,200210,True,,0
82,76561198081962345,1250,True,2014,0
83,76561198094224872,,,,0
84,76561198073210139,304050,True,,0
85,Nozomikat,265610,True,2015,0
85,Nozomikat,264200,True,2014,0
85,Nozomikat,417860,True,2015,0
85,Nozomikat,333600,True,2015,0
85,Nozomikat,213670,True,2014,0
85,Nozomikat,91310,True,2013,0
85,Nozomikat,437220,False,,2
85,Nozomikat,210770,True,2013,0
86,xfluttersx,351640,True,2015,0
86,xfluttersx,202530,False,,0
86,xfluttersx,105600,True,2012,0
86,xfluttersx,440,True,2014,0
86,xfluttersx,47870,True,2013,0
86,xfluttersx,383080,True,2015,0
86,xfluttersx,410,True,2012,0
87,76561198056290589,730,True,2014,0
88,ii_voltage_ii,253710,False,2014,0
88,ii_voltage_ii,339280,True,2015,0
88,ii_voltage_ii,271290,True,2014,0
88,ii_voltage_ii,203290,True,2013,0
89,76561198097762318,440,True,2015,0
89,76561198097762318,233150,True,2014,0
90,Hirukaz,550,True,2013,2
91,StelerForYou,730,True,2015,0
91,StelerForYou,211820,True,2013,0
92,76561198183396245,440,True,2015,0
93,Xx-Woods,346330,False,,0
93,Xx-Woods,224260,True,2015,0
93,Xx-Woods,317360,True,2014,0
93,Xx-Woods,295550,True,2014,0
93,Xx-Woods,250180,True,2014,0
93,Xx-Woods,227940,True,2014,2
93,Xx-Woods,17520,True,2014,0
93,Xx-Woods,113420,True,2014,0
94,kevinator23,320760,True,2015,2
94,kevinator23,8850,True,2015,0
94,kevinator23,233720,True,2014,0
94,kevinator23,218620,True,2015,0
94,kevinator23,730,True,2015,0
94,kevinator23,219740,True,2015,0
94,kevinator23,220240,True,2014,0
94,kevinator23,440,True,2012,0
95,76561198090715178,4000,True,2014,0
95,76561198090715178,304930,True,2014,0
96,CatsWhale,333950,True,2015,0
96,CatsWhale,388520,True,2015,0
96,CatsWhale,107410,True,2014,0
96,CatsWhale,206210,True,2014,0
97,76561198073784601,221100,True,2015,0
97,76561198073784601,299740,False,,2
98,mimimomoma,730,True,2015,0
99,76561198102410011,440,True,2015,0
100,de_Butl3r,209870,True,2014,0
101,76561198027947401,322170,True,,0
101,76561198027947401,304050,True,,0
102,Bluezap1,440,True,2015,0
102,Bluezap1,730,True,2015,0
102,Bluezap1,362890,True,2015,0
